Claim_ID,Customer_Age,Policy_Type,Years_With_Company,Claim_Amount,Number_of_Previous_Claims,Policy_Premium,Documentation_Complete,Claim_Type,Customer_Rating,Fraud_Flag,Agent_Review_Score,Claim_Approved
1,31,Travel,2,10917,6,5036,Yes,Theft,3,No,1,No
2,59,Life,22,,1,6393,Yes,Accident,1,No,6,Yes
3,59,Life,22,47693,7,6630,Yes,Accident,4,No,3,No
4,38,Auto,22,44801,4,984,Yes,Accident,2,No,1,No
5,23,Health,8,19056,7,6355,No,Theft,1,No,1,No
6,24,Home,14,6760,4,6310,Yes,Medical,2,No,8,No
7,34,Auto,5,38421,1,3507,Yes,Damage,1,No,8,No
8,49,Travel,15,35880,7,3211,Yes,Other,3,No,4,No
9,82,Travel,9,5730,7,1368,Yes,Theft,1,No,7,Yes
10,21,Life,24,45907,4,6255,Yes,Accident,4,No,9,Yes
11,26,Health,3,11596,7,1463,No,Theft,3,No,1,No
12,77,Home,4,,0,6195,Yes,Theft,4,No,8,Yes
13,68,Life,2,38820,7,897,Yes,Damage,3,No,8,No
14,52,Life,14,44424,7,1075,No,Other,2,No,2,No
15,56,Health,17,4437,0,5562,Yes,Damage,3,No,8,Yes
16,78,Health,19,6569,0,6072,Yes,Medical,4,Yes,8,Yes
17,48,Auto,8,18105,3,4411,Yes,Damage,5,No,7,Yes
18,40,Life,21,35106,2,4822,Yes,Accident,4,No,9,Yes
19,62,Home,11,14278,2,6672,Yes,Damage,3,Yes,6,Yes
20,46,Life,13,30194,0,6537,Yes,Damage,1,No,6,Yes
21,35,Auto,10,30822,1,1982,Yes,Accident,,No,2,Yes
22,35,Home,24,30746,0,3798,,Other,5,Yes,6,No
23,35,Health,3,32681,6,6710,Yes,Theft,5,Yes,4,No
24,73,Travel,19,24232,5,3251,No,Medical,1,No,5,No
25,51,Auto,19,4364,0,6596,Yes,Other,5,No,5,Yes
26,67,Auto,4,29714,6,1890,No,Damage,5,No,9,No
27,58,Life,2,38780,2,2613,Yes,Accident,4,No,6,Yes
28,82,Health,2,8795,6,2266,Yes,Other,2,No,4,No
29,73,Health,16,35921,4,6120,No,Other,4,No,2,No
30,57,Travel,3,14333,1,1830,No,Accident,2,No,1,No
31,70,Life,15,48364,3,3538,Yes,Theft,4,No,2,No
32,46,Health,16,17898,3,3693,Yes,Other,2,No,4,Yes
33,26,Health,4,25474,2,5732,Yes,Other,2,No,2,Yes
34,35,Home,0,3781,6,4777,Yes,Theft,4,Yes,5,No
35,70,Health,11,35636,1,526,No,Medical,2,No,3,No
36,55,Home,15,42541,6,3002,No,Medical,4,No,9,No
37,40,Auto,12,34391,4,6120,Yes,Damage,1,Yes,2,No
38,70,Travel,13,17567,6,2302,Yes,Theft,1,No,5,No
39,28,Travel,21,29346,7,5247,Yes,Other,1,No,5,No
40,50,Health,20,38548,4,4079,No,Damage,1,No,1,No
41,64,Travel,13,4877,1,4472,Yes,Theft,1,No,7,Yes
42,23,Life,1,8168,4,6819,No,Theft,2,No,9,No
43,25,Auto,1,22376,4,5154,Yes,Medical,3,No,9,No
44,31,Health,12,36451,5,5555,Yes,Theft,3,No,5,No
45,44,Travel,7,14796,2,2229,No,Theft,3,No,1,Yes
46,20,Home,9,4698,0,2681,Yes,Medical,,No,10,Yes
47,47,Health,24,1245,2,3153,Yes,Damage,1,No,4,Yes
48,30,Travel,2,2460,7,1432,Yes,Medical,4,No,1,No
49,64,Auto,8,46299,7,3767,Yes,Medical,2,No,5,No
50,35,Travel,1,35018,0,6101,Yes,Theft,3,No,10,No
51,29,Travel,2,17381,6,3401,Yes,Other,5,No,5,Yes
52,44,Home,7,38167,1,1081,Yes,Other,4,No,9,Yes
53,58,Home,18,2732,7,6427,No,Medical,4,No,10,Yes
54,40,Travel,22,6389,0,6792,,Theft,5,No,4,Yes
55,34,Home,2,13254,1,5637,Yes,Other,2,No,2,No
56,47,Home,0,15177,5,5371,Yes,Damage,1,No,5,No
57,73,Life,0,460,2,6300,Yes,Accident,5,No,3,Yes
58,38,Travel,23,19408,5,912,No,Theft,2,No,5,No
59,74,Home,2,30559,0,1681,Yes,Theft,1,No,4,No
60,59,Health,2,2658,6,5480,Yes,Damage,2,No,10,No
61,83,Travel,14,,0,2704,Yes,Damage,4,No,9,Yes
62,35,Health,16,37061,2,4697,Yes,Other,4,No,2,Yes
63,83,Travel,15,30554,7,5113,Yes,Damage,4,No,9,Yes
64,76,Travel,13,20516,0,2294,No,Medical,,No,3,No
65,78,Life,9,35240,0,6810,Yes,Medical,4,No,1,Yes
66,69,Health,13,32441,0,4406,No,Theft,3,No,9,Yes
67,51,Home,0,34537,3,6398,Yes,Medical,3,Yes,9,No
68,31,Travel,6,47221,4,6591,Yes,Damage,,No,10,No
69,68,Health,3,30606,4,1693,No,Medical,4,No,10,No
70,84,Auto,16,9509,7,1003,Yes,Medical,4,No,3,No
71,50,Travel,3,1746,2,2626,Yes,Theft,2,No,10,Yes
